name,owner,description,special_requirements,gender,date_of_birth,category
Tinnitus,vodeveymf@printfriendly.com,,,Female,2020-06-05 04:34:24,Stanley bustard
Lisinopril,mjoplin6w@examiner.com,,,Male,2020-03-05 01:26:00,"Hyena, brown"
OXYGEN COMPRESSED,rlitstero4@meetup.com,,,Male,2020-05-29 14:26:43,Superb starling
Metronidazole,fduchaml@globo.com,,,Female,2020-10-10 10:36:10,Vine snake (unidentified)
ESIKA,ttemplar7v@auda.org.au,,,Male,2020-09-04 13:32:44,"Fox, crab-eating"
Dextrose and Sodium Chloride,crodge5y@scientificamerican.com,,,Female,2020-06-12 22:59:17,Stanley bustard
Ferric Subsulfate,dbeddoeir@ed.gov,,,Male,2020-02-01 00:58:25,Painted stork
Borago Lavender cum Cupro,mixermi@sourceforge.net,,,Female,2020-05-23 16:06:26,Painted stork
Extra Strength PM Pain Relief,ckeig6p@ycombinator.com,,,Female,2020-08-19 21:23:37,"Hyena, brown"
SkinTx Acne Treatment,cclunan1c@hibu.com,,,Male,2020-08-02 14:49:47,Painted stork
The First Ampoule Essence BB,jriviliscl@cnn.com,,,Female,2020-09-18 00:43:47,"Fox, crab-eating"
ULTRACET,atunacliftpd@dyndns.org,,,Male,2019-12-05 15:06:30,Javan gold-spotted mongoose
Sulwhasoo Lumitouch Base,lsteedmanqa@msn.com,,,Female,2020-06-18 05:52:39,Superb starling
PODOPHYLLUM PELTATUM,dwalickibe@senate.gov,,,Female,2019-12-13 16:59:55,Javan gold-spotted mongoose
SHISEIDO SHEER MATIFYING COMPACT (REFILL),bshuttlehn@mac.com,,,Male,2020-02-20 09:21:10,Stanley bustard
Vaginitis - Feminine Care,tadriaan6u@pbs.org,,,Female,2020-03-23 17:30:36,Spectacled caiman
Isoniazid,bspeers43@rediff.com,,,Male,2019-10-30 08:23:59,"Fox, crab-eating"
GUNA-MOOD,espinozzijz@tiny.cc,,,Female,2020-06-11 04:32:46,Superb starling
Hydrocodone Bitartrate and Acetaminophen,nmarchisoc3@japanpost.jp,,,Female,2020-07-29 04:42:19,American black bear
ESIKA,kwoodthorpe8g@pcworld.com,,,Male,2020-10-25 18:25:50,"Hyena, brown"
ENGERIX-B,jkernock4n@reuters.com,,,Male,2020-04-22 02:23:41,Stanley bustard
CVS,hgladdinc4@google.pl,,,Male,2020-05-17 04:58:49,Javan gold-spotted mongoose
Omeprazole and Sodium Bicarbonate,kmattingsondd@nyu.edu,,,Male,2020-07-16 22:37:19,Painted stork
Diethylpropion Hydrochloride,kfredsonkc@last.fm,,,Male,2019-11-13 02:42:34,Spectacled caiman
Sulfamylon,ccutajarmy@youku.com,,,Male,2019-12-12 08:14:17,Spectacled caiman
XtraCare 2 in 1 Hair Cleanse and Condition,fbedome34@theglobeandmail.com,,,Male,2019-12-10 02:43:07,"Fox, crab-eating"
Inflammation I,ptessingtongt@shinystat.com,,,Female,2020-07-15 02:15:36,"Mouse, four-striped grass"
Candida Alb,pmowbrayhu@printfriendly.com,,,Male,2020-09-02 20:52:32,Javan gold-spotted mongoose
Triamterene hydrochlorothiazide,hkubanekg2@webnode.com,,,Female,2020-04-20 05:41:10,"Mouse, four-striped grass"
CVS SPF 8,epostanqi@ovh.net,,,Female,2019-11-18 00:55:58,Javan gold-spotted mongoose
Esgic,dmcgralefx@bbb.org,,,Male,2019-12-05 14:44:12,American black bear
Carvedilol,lfawdry6d@columbia.edu,,,Female,2019-11-22 02:11:34,"Fox, crab-eating"
Ibuprofen,vjoliffeh9@bandcamp.com,,,Male,2020-07-22 23:26:48,"Hyena, brown"
glimepiride,fchettoe49@blog.com,,,Female,2019-12-10 07:09:48,Stanley bustard
Lorcet 10/650,cradbourneel@cbslocal.com,,,Female,2020-05-22 13:29:38,Painted stork
Nadolol,sskirvendw@zdnet.com,,,Male,2020-01-21 04:30:18,"Hyena, brown"
CLARINS Ever Matte Broad Spectrum SPF 15 Tint 114,csinkinsonh@cyberchimps.com,,,Male,2020-03-20 07:27:01,American black bear
Aveeno Active Naturals Skin Relief Moisturizing,cluigibb@bbc.co.uk,,,Male,2020-09-19 00:07:30,Superb starling
Lisinopril,jsurmeirmt@google.com.au,,,Female,2020-06-13 15:19:25,Javan gold-spotted mongoose
Midazolam Hydrochloride,palbertson47@npr.org,,,Female,2020-04-24 16:14:16,Spectacled caiman
clindamycin hydrochloride,asherwell7q@economist.com,,,Male,2020-06-15 11:18:24,American black bear
Antimicrobial,ldahlehr@taobao.com,,,Male,2019-12-10 12:08:36,Stanley bustard
DELFLEX,sdanbyeno@slideshare.net,,,Male,2020-03-14 14:39:56,Javan gold-spotted mongoose
No7 Lifting and Firming Foundation Sunscreen SPF 15 Nude,geden2h@webs.com,,,Male,2020-02-16 11:12:06,Stanley bustard
Amlodipine Besylate,cfifoot1v@europa.eu,,,Male,2020-09-04 09:57:23,"Hyena, brown"
Lisinopril,bkybbye9e@seesaa.net,,,Female,2020-07-29 05:23:22,Stanley bustard
Intelence,athursfieldcb@surveymonkey.com,,,Female,2020-04-14 19:15:58,Stanley bustard
Vermex,cwicken2t@usnews.com,,,Male,2020-06-07 07:23:36,Javan gold-spotted mongoose
"Terrasil Itch, Rash and Pain Relief",aagiushp@tamu.edu,,,Male,2020-08-27 02:12:02,Painted stork
Olanzapine,gmasser8@ask.com,,,Male,2020-07-13 02:47:06,Vine snake (unidentified)
care one flu and sore throat,bwestmacottn2@google.com.au,,,Female,2019-12-10 04:06:10,"Mouse, four-striped grass"
PrismaSol,wcarlsen54@sina.com.cn,,,Female,2020-03-24 16:43:17,Painted stork
Neoral,rcrickettq4@marriott.com,,,Female,2020-10-18 18:24:51,Painted stork
Sertraline Hydrochloride,lkinnarlt@issuu.com,,,Female,2020-10-07 12:05:17,"Hyena, brown"
Finasteride,bhewkinm7@unc.edu,,,Male,2020-07-26 07:46:25,Superb starling
rexall allergy relief,lwestcottna@icq.com,,,Male,2020-05-04 13:07:25,Vine snake (unidentified)
Ramipril,pcosgrave1g@desdev.cn,,,Male,2019-12-17 12:04:43,Painted stork
ARTEMISIA FRIGIDA POLLEN,lsharphurstih@intel.com,,,Female,2020-01-28 02:29:46,Superb starling
AMIFOSTINE,mslaterbi@ustream.tv,,,Female,2020-07-15 09:57:03,"Mouse, four-striped grass"
Hydrating day moisture broad spectrum SPF15,agethyn1h@phpbb.com,,,Female,2020-01-31 17:37:41,Vine snake (unidentified)
Mucinex Fast-Max,elampettfz@wikimedia.org,,,Female,2020-06-11 19:27:27,Spectacled caiman
SINGULAIR,rwillimottao@sitemeter.com,,,Male,2020-08-12 05:51:55,"Hyena, brown"
kirkland signature pain and fever,dlonghorncy@aboutads.info,,,Male,2019-12-27 01:29:48,"Fox, crab-eating"
Virx,jestcourt33@people.com.cn,,,Female,2020-07-16 16:41:48,Painted stork
Mucus Relief DM,htowerku@diigo.com,,,Female,2020-07-17 18:21:05,Painted stork
Lorazepam,mrosgen1b@gizmodo.com,,,Female,2020-07-07 00:37:02,Vine snake (unidentified)
Atenolol,pzanicchelli3r@shareasale.com,,,Female,2020-02-14 12:46:34,"Mouse, four-striped grass"
healthy accents antacid,pmoffetp8@usgs.gov,,,Male,2020-01-09 07:27:26,"Hyena, brown"
ECZEMA,agouthm@so-net.ne.jp,,,Female,2020-01-18 01:20:46,"Mouse, four-striped grass"
childrens ibuprofen,jstockenpl@google.com.hk,,,Male,2020-08-22 14:03:54,Painted stork
"Carbidopa, Levodopa and Entacapone",sjudeif@whitehouse.gov,,,Male,2020-08-18 02:25:11,Painted stork
Lovely ME EX BB PACT SPF20,jann78@amazon.com,,,Female,2020-05-17 22:28:59,"Mouse, four-striped grass"
Natrum Muriaticum Kit Refill,hroiz9a@cyberchimps.com,,,Female,2019-12-09 23:45:03,Stanley bustard
Rejuvenate 2000 Maximum Strength Formula For Men,sglusbyq6@ebay.com,,,Female,2020-07-15 04:38:32,Superb starling
Pravastatin sodium,cweitzelrg@phoca.cz,,,Female,2020-10-20 23:42:36,Stanley bustard
Clozapine,rloftingfp@dagondesign.com,,,Female,2020-09-26 23:11:36,"Mouse, four-striped grass"
Cepacol,fworviellan@ow.ly,,,Male,2020-08-23 21:25:53,"Mouse, four-striped grass"
Equaline tussin,cwhightn6@google.es,,,Male,2020-04-23 00:23:44,American black bear
Allergena,vodeveymf@printfriendly.com,,,Male,2020-05-21 07:12:53,Vine snake (unidentified)
COTTON FIBER,dwilceo6@foxnews.com,,,Male,2020-08-17 21:40:29,"Hyena, brown"
COVARYX,jbollepo@bing.com,,,Male,2019-11-25 17:51:18,Javan gold-spotted mongoose
Dial Complete Antibacterial Foaming Hand Wash with Lotion,ldowbigginkz@sogou.com,,,Male,2020-04-10 02:07:18,"Mouse, four-striped grass"
Hydrochlorothiazide,ebeehoa@msn.com,,,Female,2019-12-11 02:17:37,Vine snake (unidentified)
Vibativ,awhorall1t@pen.io,,,Male,2020-08-18 13:42:49,Stanley bustard
BareMinerals Fairly Light matte,wkeniwellnw@mozilla.org,,,Male,2020-08-09 23:13:10,Superb starling
American Beech,dhillburnjv@creativecommons.org,,,Male,2020-07-30 21:58:10,Vine snake (unidentified)
Levofloxacin,wagronski4e@parallels.com,,,Female,2020-06-27 19:46:25,Javan gold-spotted mongoose
Ibuprofen,dbalch58@boston.com,,,Female,2020-07-15 15:13:20,Stanley bustard
Triamcinolone Acetonide,eflipsenc5@squarespace.com,,,Female,2020-09-06 14:06:43,Stanley bustard
Gabapentin,pvanbf@ihg.com,,,Female,2019-12-12 20:20:08,American black bear
Neutrogena TGel Therapeutic Stubborn Itch,dcuel9w@google.ru,,,Female,2020-07-28 13:54:04,Javan gold-spotted mongoose
Tetracycline-ABC,mbogeys6b@miibeian.gov.cn,,,Male,2019-11-24 04:27:53,"Hyena, brown"
Paroxetine,dboshier40@mashable.com,,,Male,2020-03-01 14:13:58,American black bear
Health Mart Z Sleep,ftuddall9z@jigsy.com,,,Female,2020-08-10 01:27:51,American black bear
rizatriptan benzoate,gvogellerfn@ustream.tv,,,Male,2019-12-21 14:10:57,"Hyena, brown"
Cetirizine,bferronel86@aol.com,,,Female,2019-12-11 12:13:01,Vine snake (unidentified)
Fosamax,blugg9m@scribd.com,,,Female,2020-05-25 07:33:09,"Hyena, brown"
Meijer Oil Free Faces SPF 30,klittrelln9@weebly.com,,,Female,2020-01-05 17:25:10,"Hyena, brown"
ARNICA MONTANA,fchettoe49@blog.com,,,Male,2020-01-21 21:36:12,Javan gold-spotted mongoose
Warfarin Sodium,sgisborneoq@joomla.org,,,Female,2019-12-06 20:17:07,American black bear
Degree,bdjurisicb7@technorati.com,,,Male,2020-03-09 12:17:45,"Fox, crab-eating"
Alcohol,jlapidus5x@hp.com,,,Male,2020-10-21 11:12:46,Vine snake (unidentified)
Hydrocodone Bitartrate and Acetaminophen,jissitth3@army.mil,,,Male,2020-06-10 15:45:57,Vine snake (unidentified)
Glyburide,bmoyerqt@ted.com,,,Male,2020-07-17 09:11:11,Vine snake (unidentified)
Bodycology white gardenia anti-bacterial scrubbing hand soap,ienevoldee@i2i.jp,,,Male,2020-10-04 06:17:56,Stanley bustard
Extra Strength Pain Reliever,rpucknelljg@mozilla.com,,,Female,2020-10-15 07:07:49,Spectacled caiman
RUE21 Apple Spice Antibacterial Hand Sanitizer,hgladdinc4@google.pl,,,Female,2020-08-24 06:55:01,Painted stork
Arnica Plus,estandringpi@umich.edu,,,Male,2020-01-05 10:02:23,Superb starling
Quetiapine fumarate,wagronski4e@parallels.com,,,Female,2020-07-27 13:49:31,"Fox, crab-eating"
EMBEDA,nhuttongs@weebly.com,,,Female,2020-03-21 15:27:36,Vine snake (unidentified)
BabyBIG,tblaydqg@usatoday.com,,,Male,2020-04-11 07:17:46,American black bear
Ondansetron Hydrochloride,gbehrendsenhs@zimbio.com,,,Male,2020-01-21 04:16:16,Vine snake (unidentified)
Hydrocodone Bitartrate And Acetaminophen,dstaresn7@bandcamp.com,,,Female,2020-04-10 19:12:25,Spectacled caiman
SoftCIDE-ES,echamberlayneb8@go.com,,,Female,2020-10-14 21:58:39,Superb starling
Cephalexin,fjenkison3f@csmonitor.com,,,Male,2020-01-21 05:28:54,American black bear
Whitening Foaming,wfridlingtone0@symantec.com,,,Female,2020-03-15 14:41:54,Stanley bustard
Flumazenil,rmartindalep2@t-online.de,,,Male,2020-09-17 14:14:10,Painted stork
Sound Body Original Eye,ezannetti9@webs.com,,,Male,2020-10-26 01:34:31,Stanley bustard
Sterile Diluent for Allergenic Extract,dmcgralefx@bbb.org,,,Male,2020-03-17 01:48:27,Painted stork
Vectibix,sklug79@blogs.com,,,Male,2020-05-23 00:15:43,Spectacled caiman
Headache Tonic,gpegrampe@xing.com,,,Female,2020-04-01 21:31:40,Stanley bustard
OXYGEN,scrimej@apache.org,,,Female,2020-03-13 21:01:15,"Mouse, four-striped grass"
HYDROXYZINE HYDROCHLORIDE,tburdecq@webnode.com,,,Female,2020-06-08 07:01:11,Javan gold-spotted mongoose
Scanty Flow,bdjurisicb7@technorati.com,,,Male,2020-08-13 00:14:39,Stanley bustard
Enteric Coated Aspirin,bsallingms@vimeo.com,,,Male,2020-09-21 21:52:50,Stanley bustard
DENBLAN,kwoodthorpe8g@pcworld.com,,,Male,2020-06-16 11:09:37,Vine snake (unidentified)
Livergen,fchettoe49@blog.com,,,Male,2020-08-12 14:12:07,Stanley bustard
Levophed,dstaresn7@bandcamp.com,,,Female,2020-09-21 12:39:56,"Hyena, brown"
Sulfamylon,itailourix@fotki.com,,,Male,2020-06-17 01:43:33,Vine snake (unidentified)
DONEPEZIL HYDROCHLORIDE,olowtherlv@baidu.com,,,Female,2020-08-17 07:51:13,Stanley bustard
Oxygen,kyegorov44@desdev.cn,,,Female,2020-01-14 08:46:42,Painted stork
OPANA,afanceba@domainmarket.com,,,Male,2019-10-31 02:06:44,Javan gold-spotted mongoose
Modafinil,hlogiek8@sbwire.com,,,Male,2020-09-26 04:22:09,Spectacled caiman
Headache,bmoralesqp@list-manage.com,,,Female,2019-12-27 16:26:47,"Mouse, four-striped grass"
