name,owner,description,special_requirements,gender,date_of_birth,category
Dorelle,apidgini2@spiegel.de,,,Male,2019-12-15,American black bear
Florance,abavesternq@amazon.co.uk,,,Male,2019-11-30,"Mouse, four-striped grass"
Celie,lmassepx@auda.org.au,,,Female,2019-11-13,Spectacled caiman
Marcille,ddee4m@harvard.edu,,,Female,2020-08-31,Superb starling
Matilde,jgawthropeom@e-recht24.de,,,Female,2020-04-05,"Fox, crab-eating"
Sharia,wbernon9q@examiner.com,,,Female,2020-06-27,Spectacled caiman
Beatrice,cbradd9l@merriam-webster.com,,,Female,2020-05-09,"Fox, crab-eating"
Prue,ddee4m@harvard.edu,,,Female,2020-08-27,Javan gold-spotted mongoose
Elinore,vscotts2d@sourceforge.net,,,Male,2020-01-27,American black bear
Chandal,cportressnb@techcrunch.com,,,Male,2020-08-22,"Hyena, brown"
Lavena,shighwayck@wsj.com,,,Male,2020-01-26,"Hyena, brown"
Pansie,acyphusbd@discovery.com,,,Male,2020-09-29,Javan gold-spotted mongoose
Yoshi,fdietzlerf9@netvibes.com,,,Male,2020-08-28,"Hyena, brown"
Beatrix,gmacvicar1r@senate.gov,,,Male,2020-05-12,American black bear
Cinderella,wsmeuinia@devhub.com,,,Male,2020-03-30,American black bear
Ingaborg,lsteedmanqa@msn.com,,,Female,2019-11-12,Spectacled caiman
Trudey,ccutajarmy@youku.com,,,Female,2020-05-08,Painted stork
Tanitansy,bmanaghe4@ezinearticles.com,,,Female,2020-07-12,"Fox, crab-eating"
Drusie,mlisettc7@github.io,,,Male,2020-06-22,"Mouse, four-striped grass"
Leland,tarroro@symantec.com,,,Male,2020-04-17,American black bear
Claire,asighart6y@studiopress.com,,,Female,2020-08-12,"Hyena, brown"
Romona,rdumperda@statcounter.com,,,Female,2020-02-14,Painted stork
Andie,wagronski4e@parallels.com,,,Female,2020-03-04,Javan gold-spotted mongoose
Crista,tyuranovev2y@sciencedirect.com,,,Female,2020-03-03,Spectacled caiman
Phylys,bcowins1e@slate.com,,,Female,2020-05-28,Javan gold-spotted mongoose
Cecilia,cfaulkener99@goodreads.com,,,Female,2020-01-14,Stanley bustard
Heidie,geden2h@webs.com,,,Male,2020-02-02,"Fox, crab-eating"
Louisette,wgraffin9k@indiegogo.com,,,Male,2020-03-01,"Hyena, brown"
Perri,achallener3g@about.me,,,Female,2019-12-21,"Hyena, brown"
Rubie,mkleinfeldh0@paginegialle.it,,,Male,2020-07-06,Painted stork
Consolata,wrattenberiecu@loc.gov,,,Female,2020-07-27,Vine snake (unidentified)
Nike,rkillshaw8h@ycombinator.com,,,Female,2020-10-08,Javan gold-spotted mongoose
Vilma,rashergr@live.com,,,Female,2019-12-06,Superb starling
Chanda,gstoven6k@yellowbook.com,,,Male,2020-05-20,Javan gold-spotted mongoose
Winifred,vaddeydv@wikispaces.com,,,Female,2020-03-16,Painted stork
Merrill,cpechellrk@google.pl,,,Female,2020-07-04,Javan gold-spotted mongoose
Roze,gstoven6k@yellowbook.com,,,Male,2020-01-29,Spectacled caiman
Charla,murwenj7@deliciousdays.com,,,Female,2020-02-17,American black bear
Emmalyn,acaneoip@forbes.com,,,Male,2020-08-17,"Mouse, four-striped grass"
Ludovika,lcrambab@topsy.com,,,Female,2020-08-13,"Fox, crab-eating"
Tansy,dwilceo6@foxnews.com,,,Male,2020-10-24,"Mouse, four-striped grass"
Daron,dmaciloryne@friendfeed.com,,,Male,2020-02-02,Vine snake (unidentified)
Mignonne,apielko@51.la,,,Male,2020-08-21,"Fox, crab-eating"
Oneida,agundry5d@eepurl.com,,,Male,2020-10-11,"Fox, crab-eating"
